"Text","Positive","Negative","Score","Summary","PosPercent","NegPercent"
"adekku kelewat bete gara salah tangkap taaruf gara dinda hauw rey mbayang",1,6,-5,"Negative",0.142857142857143,0.857142857142857
" budaya arab islam dkt arab semestinya islam dkt msia orang melayu islam kawin taaruf tengok berdasarkan perkara harta keturunan sekufu agama pasangan utamakan agama ust ilmu",10,8,2,"Positive",0.555555555555556,0.444444444444444
"yuk taaruf",1,0,1,"Positive",1,0
"prinsip ta'aruf melewatkan salah satunya ya yuk menonton",4,5,-1,"Negative",0.444444444444444,0.555555555555556
" ta'aruf bang",0,1,-1,"Negative",0,1
"taaruf ",0,0,0,"Positive",0,0
"alhamdulilah detik proses taaruf nya nge block ",2,1,1,"Positive",0.666666666666667,0.333333333333333
"alhamdulilah ukhti detik proses taaruf nya nge block ",2,1,1,"Positive",0.666666666666667,0.333333333333333
"alhamdulilah cen detik proses taaruf nya nge block ",2,1,1,"Positive",0.666666666666667,0.333333333333333
"kak teman diajak taaruf tolong langsung dm kak namanya pem",4,2,2,"Positive",0.666666666666667,0.333333333333333
"anjrit viral nih wkwkwkkwk untung gua meladeni pas nge dm mengajak taaruf tahi babi",4,4,0,"Positive",0.5,0.5
"mending lu block cowok cowok ngajakin gua taaruf dm banget anjing dijaga mulutnya",4,6,-2,"Negative",0.4,0.6
"alhamdulilah hyung detik proses taaruf nya nge block ",2,1,1,"Positive",0.666666666666667,0.333333333333333
" akhi ukhti twitter diajak taaruf wkwkkwkwwkk",1,0,1,"Positive",1,0
"tipe istri idaman mu kayak kalo baleh tau muk mengajak taaruf benaran umur gjauh beda ",4,6,-2,"Negative",0.4,0.6
"topik perbincangan kemarin bawa nama ta'aruf membenarkan tindakan nikah muda orang menuntun sabar terkait merangkul orang dibilang ",11,10,1,"Positive",0.523809523809524,0.476190476190476
" go one one taaruf islam ajar berkenalan melanggar batas syarak bezanya perkenalan couple bersedia menikah sajasaja ambil kesempatan",8,6,2,"Positive",0.571428571428571,0.428571428571429
"untukmu saudaraku tolonglah ta'aruf yakinkan hati sembarangan nadzor ta'aruf sanata'aruf perbuatanmu berimbas ikhwan niat nadzor dituduh negatif muncul istilah abu nadzor hmmm",6,8,-2,"Negative",0.428571428571429,0.571428571428571
" pacaran bilang pacaran ta'aruf ta'aruf jadikan agama kedok berbuat dosa mengelabui orang awam istilahistilah agama memakan babi bismillah menjadikannya halal",10,13,-3,"Negative",0.434782608695652,0.565217391304348
